User_ID,Var1,Age
20080820123,A,
20080820124,A,20-30
20080820125,A,30-40
20080820126,A,Less tha 15
20080820127,A,
20080820128,A,40-50
20080820129,A,
20080820130,A,20-30
20080820131,NA,
20080820132,A,
20080820133,A,30-40
20080820134,A,30-40
20080820135,A,
20080820136,A,
20080820137,A,50-60
20080820138,R,
20080820139,A,30-40
20080820140,A,30-40
20080820141,A,More than 70
20080820142,A,30-40
20080820143,A,40-50
20080820144,A,40-50
20080820145,NA,
20080820146,A,30-40
20080820147,A,30-40
20080820148,A,30-40
20080820149,A,20-30
20080820150,A,20-30
20080820151,A,
20080820152,A,30-40
20080820153,A,60-70
20080820154,A,
20080820155,A,50-60
20080820156,A,20-30
20080820157,A,30-40
20080820158,A,
20080820159,A,30-40
20080820160,A,50-60
20080820161,A,40-50
20080820162,A,50-60
20080820163,A,
20080820164,A,30-40
20080820165,A,30-40
20080820166,A,
20080820167,A,
20080820168,A,30-40
20080820169,A,30-40
20080820170,A,30-40
20080820171,A,Less tha 15
20080820172,A,30-40
20080820173,A,50-60
20080820174,NA,
20080820175,A,
20080820176,NA,
20080820177,A,20-30
20080820178,A,50-60
20080820179,A,
20080820180,A,20-30
20080820181,A,
20080820182,A,30-40
20080820183,A,
20080820184,Other,30-40
20080820185,A,30-40
20080820186,A,40-50
20080820187,A,20-30
20080820188,A,40-50
20080820189,A,20-30
20080820190,A,
20080820191,A,30-40
20080820192,A,30-40
20080820193,A,
20080820194,A,20-30
20080820195,A,
20080820196,A,20-30
20080820197,B,
20080820198,A,30-40
20080820199,Other,40-50
20080820200,A,30-40
20080820201,A,40-50
20080820202,A,20-30
20080820203,A,Less tha 15
20080820204,A,20-30
20080820205,A,30-40
20080820206,A,
20080820207,A,
20080820208,A,
20080820209,A,20-30
20080820210,A,
20080820211,E,30-40
20080820212,R,20-30
20080820213,A,
20080820214,A,20-30
20080820215,A,40-50
20080820216,E,30-40
20080820217,A,20-30
20080820218,A,30-40
20080820219,M,50-60
20080820220,A,Less tha 15
20080820221,A,20-30
20080820222,D,30-40
20080820223,D,40-50
20080820224,A,20-30
20080820225,D,50-60
20080820226,A,
20080820227,NA,40-50
20080820228,A,20-30
